ageband,16-39,16-39,40-69,40-69,70+,70+,total
sex,F,M,F,M,F,M,
registered,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
ast,146.0,160.5,150.5,119.6,141.5,109.2,140.7
astadm,6.1,5.4,7.2,3.9,6.1,4.1,5.5
astrx,99.1,86.1,199.9,132.0,309.4,264.9,157.3
bmi,813.5,625.1,945.3,886.7,959.8,958.4,846.3
bmi_stage,49.0,27.7,140.0,103.5,165.6,158.6,95.9
carehome,0.3,0.1,0.6,0.1,0.2,0.0,0.3
carer,21.6,8.9,67.7,28.0,84.0,57.5,38.9
chd_cov,11.1,8.3,62.3,87.1,284.5,386.7,91.2
ckd15,1.8,1.6,28.1,23.5,235.2,202.8,48.0
ckd35,0.8,0.8,21.9,17.6,222.0,187.7,42.7
ckd_cov,1.4,1.8,4.0,4.9,14.0,16.5,5.1
cld,5.2,6.9,23.8,29.7,23.5,27.2,18.5
cns_cov,17.8,19.2,39.2,39.3,132.9,142.2,47.1
cov1decl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cov2decl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covadm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covadm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covcontra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covrx,157.2,82.9,486.2,384.2,861.8,854.5,381.3
diab,26.7,10.5,82.6,98.3,167.1,225.2,79.4
dmres,0.3,0.1,1.6,1.8,4.9,6.0,1.7
domcare,0.2,0.0,0.5,0.1,0.0,0.0,0.2
eth2001,703.9,631.3,751.0,702.8,734.3,731.4,704.6
eth_norecord,5.2,5.4,6.0,6.3,5.7,5.6,5.7
eth_notgiptref,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eth_notstated,31.4,29.7,19.8,20.7,16.0,15.6,23.5
hhld_imdef,0.2,0.2,0.3,0.2,0.1,0.1,0.2
immdx_cov,4.2,4.6,13.1,14.1,26.6,32.6,12.6
immrx,8.5,7.1,25.9,17.8,37.9,30.1,18.4
learndis,5.4,9.4,4.3,5.5,1.8,2.4,5.4
longres,0.6,1.0,2.1,2.7,43.5,23.0,6.9
non_eth2001,247.1,218.0,317.8,290.9,327.9,325.2,280.0
nonshield,12.2,8.5,19.2,15.2,30.2,30.4,16.7
notcarer,48.3,32.4,47.6,39.7,61.3,53.1,44.6
nursehome,0.1,0.0,0.1,0.0,0.0,0.0,0.0
preg,81.3,1.7,6.5,0.5,1.3,1.5,17.7
pregdel,99.6,0.9,8.3,0.3,0.7,0.8,21.3
resp_cov,2.5,2.6,28.1,27.6,99.3,123.0,31.4
sev_mental,7.2,9.3,15.0,16.0,14.8,10.3,12.3
sev_obesity,4.6,1.5,11.9,5.5,8.0,4.9,6.1
shield,34.3,18.6,81.4,66.9,181.2,243.7,77.5
smhres,0.7,0.8,2.0,2.1,2.2,1.7,1.5
spln_cov,5.2,2.7,7.4,4.8,8.8,7.3,5.6
index,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
total_population,5204929.0,5286628.0,5995889.0,6216444.0,2404071.0,1989604.0,27097565.0
