ageband,16-39,16-39,40-69,40-69,70+,70+,total
sex,F,M,F,M,F,M,
registered,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
ast,156.0,167.4,153.3,121.7,134.7,104.6,143.5
astadm,4.1,4.9,4.9,3.1,4.8,3.2,4.2
astrx,102.0,77.9,214.6,143.0,318.0,273.0,166.2
bmi,845.2,653.4,954.1,895.1,970.0,966.1,866.5
bmi_stage,63.1,35.7,185.4,148.8,221.7,221.0,132.7
carehome,0.9,0.1,1.4,0.2,0.2,0.1,0.6
carer,16.4,6.7,60.6,25.0,84.3,57.3,36.1
chd_cov,12.5,9.0,63.6,91.8,285.8,390.2,97.6
ckd15,2.0,1.6,27.6,22.4,233.1,198.1,50.0
ckd35,0.8,0.7,21.1,16.2,219.7,182.6,44.2
ckd_cov,1.5,1.8,3.8,4.7,13.0,15.0,5.0
cld,5.7,8.0,25.1,31.3,24.4,26.8,19.8
cns_cov,19.0,20.0,40.6,41.5,140.8,148.0,51.1
cov1decl,3.6,2.5,7.7,7.0,23.8,19.8,8.3
cov2decl,2.5,1.7,5.3,4.9,17.8,14.6,5.9
covadm1,170.0,82.7,480.1,369.6,889.5,881.2,393.9
covadm2,170.1,82.7,480.3,369.7,890.0,881.7,394.1
covcontra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covrx,170.2,82.8,480.3,369.8,890.1,881.7,394.1
diab,28.1,11.2,81.2,98.8,164.8,223.5,81.6
dmres,0.5,0.2,2.1,1.8,5.1,6.0,2.0
domcare,0.6,0.1,1.4,0.3,0.1,0.1,0.5
eth2001,606.5,541.8,648.5,611.9,593.2,587.4,602.2
eth_norecord,5.8,5.6,6.1,6.0,5.7,5.2,5.8
eth_notgiptref,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eth_notstated,45.3,46.6,48.4,49.6,49.5,49.4,47.9
hhld_imdef,0.5,0.5,0.7,0.6,0.2,0.2,0.5
immdx_cov,4.4,4.6,13.0,13.3,27.0,32.6,12.8
immrx,7.9,6.2,24.6,16.5,35.7,27.6,17.5
learndis,6.5,10.8,4.7,6.0,1.7,2.2,6.0
longres,0.9,1.6,2.5,3.3,49.9,26.4,8.6
non_eth2001,352.9,309.0,390.8,368.2,380.1,379.7,361.4
nonshield,21.1,11.9,33.4,28.3,55.8,57.9,30.0
notcarer,16.8,11.6,19.5,14.3,33.6,23.6,18.0
nursehome,0.2,0.0,0.3,0.0,0.0,0.0,0.1
preg,76.8,0.2,4.6,0.2,0.4,0.3,15.3
pregdel,99.4,0.2,6.3,0.3,0.5,0.4,19.9
resp_cov,2.5,2.7,29.2,28.5,98.2,123.5,33.2
sev_mental,7.3,9.0,14.7,15.4,13.6,9.6,11.9
sev_obesity,5.7,1.8,14.5,7.2,9.4,5.9,7.7
shield,37.2,20.4,83.1,69.3,195.5,258.7,84.4
smhres,1.3,1.6,3.9,4.1,4.4,3.3,3.0
spln_cov,5.8,2.8,8.0,5.1,9.3,7.7,6.1
total_population,3660005.0,3733826.0,4437189.0,4578857.0,1898302.0,1579304.0,19887483.0
