ageband,sex,carehome,rate_per_1000
16-39,F,158942005,0.03
16-39,F,158943000,0.02
16-39,F,1092561000000107,0.29
16-39,M,158942005,0.01
16-39,M,158943000,0.01
16-39,M,1092561000000107,0.05
40-69,F,158942005,0.06
40-69,F,158943000,0.04
40-69,F,158944006,0.01
40-69,F,1092561000000107,0.49
40-69,M,158942005,0.02
40-69,M,158943000,0.02
40-69,M,1092561000000107,0.08
70+,F,158942005,0.03
70+,F,158943000,0.02
70+,F,158944006,0.08
70+,F,1092561000000107,0.03
70+,M,158943000,0.01
70+,M,158944006,0.02
70+,M,1092561000000107,0.01
