ageband,sex,bmi_stage,rate_per_1000
16-39,F,6497000,1.6
16-39,F,35425004,7.3
16-39,F,162863004,10.0
16-39,F,162864005,21.1
16-39,F,310252000,5.8
16-39,F,408512008,4.6
16-39,F,412768003,11.0
16-39,F,914721000000105,0.6
16-39,F,914731000000107,0.5
16-39,F,914741000000103,0.5
16-39,M,6497000,1.7
16-39,M,35425004,6.0
16-39,M,162863004,6.9
16-39,M,162864005,9.5
16-39,M,310252000,4.0
16-39,M,408512008,1.4
16-39,M,412768003,5.4
16-39,M,914721000000105,0.3
16-39,M,914731000000107,0.2
16-39,M,914741000000103,0.2
40-69,F,6497000,2.9
40-69,F,35425004,41.5
40-69,F,162863004,37.4
40-69,F,162864005,61.8
40-69,F,310252000,4.9
40-69,F,408512008,11.3
40-69,F,412768003,22.3
40-69,F,914721000000105,1.3
40-69,F,914731000000107,1.1
40-69,F,914741000000103,1.2
40-69,M,6497000,1.5
40-69,M,35425004,26.6
40-69,M,162863004,44.7
40-69,M,162864005,51.5
40-69,M,310252000,1.9
40-69,M,408512008,5.5
40-69,M,412768003,14.4
40-69,M,914721000000105,1.3
40-69,M,914731000000107,0.8
40-69,M,914741000000103,0.7
70+,F,6497000,2.0
70+,F,35425004,44.1
70+,F,162863004,57.7
70+,F,162864005,69.8
70+,F,310252000,7.8
70+,F,408512008,6.9
70+,F,412768003,30.4
70+,F,914721000000105,1.6
70+,F,914731000000107,0.9
70+,F,914741000000103,0.6
70+,M,6497000,0.9
70+,M,35425004,33.6
70+,M,162863004,77.7
70+,M,162864005,69.3
70+,M,310252000,3.1
70+,M,408512008,4.1
70+,M,412768003,29.1
70+,M,914721000000105,1.8
70+,M,914731000000107,0.8
70+,M,914741000000103,0.4
